observation_date,production
1/1/1997,740.516
2/1/1997,733.954
3/1/1997,713.174
4/1/1997,657.021
5/1/1997,651.785
6/1/1997,679.875
7/1/1997,658.036
8/1/1997,736.048
9/1/1997,769.976
10/1/1997,866.834
11/1/1997,904.676
12/1/1997,910.473
1/1/1998,801.705
2/1/1998,784.382
3/1/1998,741.731
4/1/1998,710.596
5/1/1998,716.956
6/1/1998,741.91
7/1/1998,729.652
8/1/1998,787.652
9/1/1998,809.413
10/1/1998,887.978
11/1/1998,916.89
12/1/1998,910.029
1/1/1999,785.656
2/1/1999,767.66
3/1/1999,716.863
4/1/1999,711.317
5/1/1999,721.79
6/1/1999,725.126
7/1/1999,721.63
8/1/1999,753.023
9/1/1999,780.746
10/1/1999,881.167
11/1/1999,881.934
12/1/1999,900.691
1/1/2000,824.167
2/1/2000,801.475
3/1/2000,762.711
4/1/2000,776.079
5/1/2000,727.701
6/1/2000,764.426
7/1/2000,748.808
8/1/2000,789.162
9/1/2000,841.017
10/1/2000,915.746
11/1/2000,907.838
12/1/2000,928.392
1/1/2001,820.447
2/1/2001,815.836
3/1/2001,793.809
4/1/2001,767.703
5/1/2001,755.911
6/1/2001,771.964
7/1/2001,759.624
8/1/2001,801.039
9/1/2001,826.721
10/1/2001,840.213
11/1/2001,861.649
12/1/2001,867.856
1/1/2002,786.907
2/1/2002,766.644
3/1/2002,738.32
4/1/2002,700.743
5/1/2002,681.715
6/1/2002,751.1
7/1/2002,738.958
8/1/2002,786.673
9/1/2002,799.771
10/1/2002,830.231
11/1/2002,860.587
12/1/2002,831.171
1/1/2003,756.549
2/1/2003,744.155
3/1/2003,744.411
4/1/2003,703.828
5/1/2003,720.27
6/1/2003,747.396
7/1/2003,688.421
8/1/2003,757.335
9/1/2003,781.872
10/1/2003,837.912
11/1/2003,888.812
12/1/2003,862.243
1/1/2004,777.692
2/1/2004,787.604
3/1/2004,695.502
4/1/2004,684.083
5/1/2004,734.952
6/1/2004,711.475
7/1/2004,710.241
8/1/2004,777.979
9/1/2004,808.079
10/1/2004,885.557
11/1/2004,891.185
12/1/2004,870.125
1/1/2005,833.78
2/1/2005,829.478
3/1/2005,717.91
4/1/2005,714.858
5/1/2005,746.006
6/1/2005,717.485
7/1/2005,737.694
8/1/2005,768.526
9/1/2005,801.361
10/1/2005,918.121
11/1/2005,912.905
12/1/2005,936.5
1/1/2006,791.698
2/1/2006,788.585
3/1/2006,725.687
4/1/2006,720.057
5/1/2006,682.649
6/1/2006,682.335
7/1/2006,680.788
8/1/2006,749.798
9/1/2006,794.267
10/1/2006,867.722
11/1/2006,872.617
12/1/2006,883.695
1/1/2007,814.822
2/1/2007,779.764
3/1/2007,753.819
4/1/2007,665.585
5/1/2007,656.417
6/1/2007,635.411
7/1/2007,611.685
8/1/2007,674.351
9/1/2007,737.287
10/1/2007,776.275
11/1/2007,792.868
12/1/2007,807.964
1/1/2008,727.877
2/1/2008,681.261
3/1/2008,650.632
4/1/2008,614.874
5/1/2008,595.207
6/1/2008,595.763
7/1/2008,569.727
8/1/2008,592.776
9/1/2008,691.245
10/1/2008,763.442
11/1/2008,775.585
12/1/2008,681.162
1/1/2009,601.733
2/1/2009,595.597
3/1/2009,572.684
4/1/2009,533.527
5/1/2009,537.15
6/1/2009,532.556
7/1/2009,550.946
8/1/2009,596.037
9/1/2009,677.043
10/1/2009,827.783
11/1/2009,783.601
12/1/2009,780.064
1/1/2010,671.875
2/1/2010,662.744
3/1/2010,615.555
4/1/2010,598.996
5/1/2010,602.208
6/1/2010,599.085
7/1/2010,645.664
8/1/2010,714.64
9/1/2010,775.451
10/1/2010,845.216
11/1/2010,787.936
12/1/2010,794.846
1/1/2011,689.838
2/1/2011,686.433
3/1/2011,662.529
4/1/2011,652.783
5/1/2011,611.522
6/1/2011,600.324
7/1/2011,599.902
8/1/2011,615.05
9/1/2011,628.545
10/1/2011,781.536
11/1/2011,781.954
12/1/2011,769.441
1/1/2012,669.107
2/1/2012,662.919
3/1/2012,630.167
4/1/2012,586.972
5/1/2012,571.283
6/1/2012,579.519
7/1/2012,599.199
8/1/2012,657.933
9/1/2012,751.456
10/1/2012,769.125
11/1/2012,776.956
12/1/2012,777.364
1/1/2013,716.677
2/1/2013,682.896
3/1/2013,686.949
4/1/2013,638.013
5/1/2013,614.17
6/1/2013,614.532
7/1/2013,618.664
8/1/2013,671.738
9/1/2013,706.258
10/1/2013,785.435
11/1/2013,814.029
12/1/2013,824.894
1/1/2014,699.898
2/1/2014,695.778
3/1/2014,676.501
4/1/2014,622.509
5/1/2014,591.739
6/1/2014,598.157
7/1/2014,589.649
8/1/2014,656.481
9/1/2014,715.3
10/1/2014,801.637
11/1/2014,863.854
12/1/2014,860.447
1/1/2015,735.949
2/1/2015,728.953
3/1/2015,713.015
4/1/2015,676.449
5/1/2015,647.782
6/1/2015,674.915
7/1/2015,688.269
8/1/2015,775.777
9/1/2015,775.733
10/1/2015,848.34
11/1/2015,833.438
12/1/2015,804.789
1/1/2016,726.254
2/1/2016,723.755
3/1/2016,722.49
4/1/2016,693.549
5/1/2016,683.266
6/1/2016,685.427
7/1/2016,689.087
8/1/2016,700.777
9/1/2016,731.709
10/1/2016,796.843
11/1/2016,782.07
12/1/2016,779.462
1/1/2017,684.211
2/1/2017,675.143
3/1/2017,639.92
4/1/2017,605.572
5/1/2017,592.62
6/1/2017,597.337
7/1/2017,606.97
8/1/2017,656.763
9/1/2017,700.549
10/1/2017,765.7
11/1/2017,779.865
12/1/2017,774.537
